ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,Knowledge Graph,3|9,GRAPH
2,Labeled Property Graph,3|6|7|8,GRAPH
3,Graph Database,4|5,GRAPH
4,Node,,GRAPH
5,Edge,,GRAPH
6,Node Label,4,GRAPH
7,Edge Type,5,GRAPH
8,Graph Property,4|5,GRAPH
9,Graph Schema,6|7|8,GRAPH
10,Cypher Query Language,2|9,GRAPH
11,openCypher Standard,10,GRAPH
12,GQL Standard,10,GRAPH
13,Graph Pattern Matching,9|10,GRAPH
14,Graph Traversal,4|5|3,GRAPH
15,Path Query,14|13,GRAPH
16,Graph Index,3|8,GRAPH
17,Graph Algorithm,14|16,GRAPH
18,RDF Lacks Scalability,1|2,GRAPH
19,Open World Assumption,1,GRAPH
20,Closed World Assumption,1,GRAPH
21,Graph vs Relational Model,3,GRAPH
22,Graph vs Vector Store,3,GRAPH
23,Graph Serialization Format,2,GRAPH
24,GraphML,23,GRAPH
25,GraphSON,23,GRAPH
26,Enterprise Knowledge Graph,1|2,EKG
27,Entity,4,EKG
28,Entity Resolution,27|420,EKG
29,Master Data Management,28,EKG
30,Canonical Entity Model,29,EKG
31,Hub-and-Spoke Graph Architecture,26,EKG
32,Federated Graph Architecture,26,EKG
33,Graph Schema Governance,9|26,EKG
34,Schema Drift,33,EKG
35,Stale Edge Detection,5|26,EKG
36,Missing Provenance,26,EKG
37,HR Data Graph,26,EKG
38,Finance Data Graph,26,EKG
39,CRM Graph Integration,26,EKG
40,ERP Graph Integration,26,EKG
41,Product Catalog Graph,26,EKG
42,Operational Log Graph,26,EKG
43,Cross-System Entity Linking,28|26|421|422,EKG
44,Graph ETL Pipeline,45|26,EKG
45,Graph Ingestion Pattern,26,EKG
46,Property Graph Scale,2,EKG
47,Billion-Edge Graph,46,EKG
48,Graph Sharding,47,EKG
49,Graph Replication,3,EKG
50,Graph Deduplication,28,EKG
51,Knowledge Graph Quality,26|428|431,EKG
52,Ontology,1,EKG
53,Taxonomy vs Ontology,52,EKG
54,Graph Data Catalog,26,EKG
55,SKOS,52|1,EKG
56,Data Lake,,DATA
57,Data Lakehouse,56,DATA
58,Semantic Layer,56,DATA
59,Business Metric,58,DATA
60,Dimension,58,DATA
61,Logical Data Model,58,DATA
62,Virtual View,61,DATA
63,Metric Store,59|58,DATA
64,SQL-Based Semantic Layer,58|63,DATA
65,OLAP Semantic Layer Tool,58,DATA
66,Cube (Semantic Layer),58|60,DATA
67,Business Glossary,58,DATA
68,Query Federation,58|56,DATA
69,Data Virtualization,62|68,DATA
70,Naming Convention Standard,67,DATA
71,Join Path Discovery,61,DATA
72,Undocumented Join,71,DATA
73,Source System Mapping,58|56,DATA
74,Semantic Search,58,DATA
75,Vocabulary Alignment,67|58,DATA
76,Column Naming Standard,70,DATA
77,Semantic Consistency,58|75,DATA
78,Table Discovery,56|58,DATA
79,Schema Registry,9|58,DATA
80,Data Dictionary,67|58,DATA
81,Metadata,,DATA
82,Technical Metadata,81,DATA
83,Business Metadata,81,DATA
84,Operational Metadata,81,DATA
85,Active Metadata Management,81,DATA
86,Passive Metadata Cataloging,81,DATA
87,Data Quality,81,DATA
88,Data Completeness,87,DATA
89,Data Accuracy,87,DATA
90,Data Consistency,87,DATA
91,Data Timeliness,87,DATA
92,Data Stewardship,81|96,DATA
93,Data Ownership,96,DATA
94,Data Classification,81,DATA
95,Access Control,94,DATA
96,Data Governance Framework,81,DATA
97,Metadata Catalog Platform,85|82|83,DATA
98,Automated Metadata Discovery,97,DATA
99,Metadata Tagging,81,DATA
100,Policy Enforcement,96|95|482|483,DATA
101,Governance Role,96,DATA
102,Data Quality Rule,87,DATA
103,Metadata Registry,81,META
